card_name,cardColorList,Text,text_corpus,book,chapter
Easterling Vanguard,B,"An army of Easterlings charged forth, while from the hills poured Orcs innumerable.",an army of easterlings charged forth while from the hills poured orcs innumerable,rk,rk10
"Gollum, Patient Plotter",B,"“They’ll take it, steal my Precious. Thieves. We hates them.”",they’ll take it steal my precious thieves we hates them,tt,tt17
Gollum's Bite,B,"“It was Pity that stayed Bilbo’s hand. Do not be too eager to deal out death in judgment; Gollum has some part to play yet, before the end.”
—Gandalf, to Frodo",it was pity that stayed bilbo’s hand do not be too eager to deal out death in judgment gollum has some part to play yet before the end ,fs,tt12
Gríma Wormtongue,B,"“Do not weary yourself, or tax too heavily your strength. Let others deal with these irksome guests.”",do not weary yourself or tax too heavily your strength let others deal with these irksome guests,tt,tt6
Haunt of the Dead Marshes,B,"“You should not look in when the candles are lit.”
—Gollum",you should not look in when the candles are lit ,tt,tt13
Isildur's Fateful Strike,B,"Isildur cut the Ring from Sauron’s hand with the hilt-shard of his father’s sword, and Sauron himself was overthrown.",isildur cut the ring from sauron’s hand with the hiltshard of his father’s sword and sauron himself was overthrown,fs,fs18
March from the Black Gate,B,"Like a storm, they broke upon the line of the Men of Gondor.",like a storm they broke upon the line of the men of gondor,rk,rk10
Mirkwood Bats,B,"“The enemy has many spies and many ways of hearing.”
—Gandalf",the enemy has many spies and many ways of hearing ,fs,fs6
Nasty End,B,"“And that’s the end of that. A nasty end for Saruman, and I wish I needn’t have seen it; but it’s a good riddance.”
—Sam",and that’s the end of that a nasty end for saruman and i wish i needn’t have seen it but it’s a good riddance ,tt,rk18
Shadow of the Enemy,B,"As Frodo put on the Ring, Sauron was suddenly aware of the magnitude of his own folly. His wrath blazed in consuming flame, but his fear rose like black smoke.",as frodo put on the ring sauron was suddenly aware of the magnitude of his own folly his wrath blazed in consuming flame but his fear rose like black smoke,rk,rk13
Snarling Warg,B,"A shuddering howl broke from him, as if he were a captain summoning his pack to the assault.",a shuddering howl broke from him as if he were a captain summoning his pack to the assault,fs,fs20
Troll of Khazad-dûm,B,"“A great cave-troll, I think. There is no hope of escape that way.”
—Gandalf",a great cavetroll i think there is no hope of escape that way ,fs,fs21
Breaking of the Fellowship,R,“It might have been mine. It should be mine. Give it to me!”,it might have been mine it should be mine give it to me,fs,fs26
"Éomer, Marshal of Rohan",R,"“Need brooks no delay, yet late is better than never.”",need brooks no delay yet late is better than never,rk,rk5
Éomer of the Riddermark,R,But northward the white crest of Éomer led the great front of the Rohirrim which he had again gathered and marshaled.,but northward the white crest of éomer led the great front of the rohirrim which he had again gathered and marshaled,rk,rk6
"Erkenbrand, Lord of Westfold",R,"Down from the hills leaped Erkenbrand, lord of Westfold, and the hosts of Isengard roared in fear.",down from the hills leaped erkenbrand lord of westfold and the hosts of isengard roared in fear,fs,tt7
"Fear, Fire, Foes!",R,"“Open, in the name of Mordor!”",open in the name of mordor,fs,fs15
Fire of Orthanc,R,The barricade was scattered as if by a thunderbolt.,the barricade was scattered as if by a thunderbolt,tt,tt7
Haradrim Spearmaster,R,"“In the South the Haradrim are moving, and fear has fallen on all our coastlands.”
—Hirgon, errand-rider of Gondor",in the south the haradrim are moving and fear has fallen on all our coastlands ,fs,rk3
Moria Marauder,R,"There was a rush of hoarse laughter, like the fall of sliding stones into a pit; amid the clamor a deep voice was raised in command.",there was a rush of hoarse laughter like the fall of sliding stones into a pit amid the clamor a deep voice was raised in command,fs,fs21
Olog-hai Crusher,R,"Trolls were abroad, no longer dull-witted, but cunning and armed with dreadful weapons.",trolls were abroad no longer dullwitted but cunning and armed with dreadful weapons,fs,fs6
Quarrel's End,R,"“It is a joy to us to see you return into your own.”
—Éomer",it is a joy to us to see you return into your own ,tt,tt6
Rally at the Hornburg,R,"With a cry and a great noise they charged. Down from the gates they roared, over the causeway they swept, and they drove through the hosts of Isengard as a wind among grass.",with a cry and a great noise they charged down from the gates they roared over the causeway they swept and they drove through the hosts of isengard as a wind among grass,tt,tt7
Ranger's Firebrand,R,"“Keep close to the fire, with your faces outward! Get some of the longer sticks ready in your hands!”
—Strider",keep close to the fire with your faces outward get some of the longer sticks ready in your hands ,fs,fs15
Rising of the Day,R,Over the low hills the horns were sounding. Hastening down the long slopes were a thousand men on foot; their swords were in their hands.,over the low hills the horns were sounding hastening down the long slopes were a thousand men on foot their swords were in their hands,tt,tt7
Rohirrim Lancer,R,"“Dire deeds awake, dark is it eastward. Let horse be bridled, horn be sounded!”
—Théoden",dire deeds awake dark is it eastward let horse be bridled horn be sounded ,tt,tt6
Rush the Room,R,"There was a horn-blast and a rush of feet, and Orcs one after another leaped into the chamber.",there was a hornblast and a rush of feet and orcs one after another leaped into the chamber,fs,fs21
Smite the Deathless,R,“No living man am I!”,no living man am i,rk,rk6
Spiteful Banditry,R,"“One ill turn deserves another.”
—Saruman",one ill turn deserves another ,rk,rk18
Bombadil's Song,G,"“Hey dol! merry dol! ring a dong dillo!
Ring a dong! hop along! fal lal the willow!
Tom Bom, jolly Tom, Tom Bombadillo!”",hey dol merry dol ring a dong dillo ring a dong hop along fal lal the willow tom bom jolly tom tom bombadillo,fs,fs10
Brandywine Farmer,G,"“Your land must be a realm of peace and content, and there must gardeners be in high honor.”
—Faramir",your land must be a realm of peace and content and there must gardeners be in high honor ,tt,tt16
Celeborn the Wise,G,"His eyes were keen as lances in starlight, and yet profound, the wells of deep memory.",his eyes were keen as lances in starlight and yet profound the wells of deep memory,rk,fs23
Delighted Halfling,G,"There were toys the Hobbit-children had never seen before, all beautiful, and some obviously magical.",there were toys the hobbitchildren had never seen before all beautiful and some obviously magical,fs,fs5
Dúnedain Rangers,G,“Aragorn has need of his kindred. Let the Dúnedain go to him in Rohan!”,aragorn has need of his kindred let the dúnedain go to him in rohan,rk,rk2
Elven Chorus,G,"“A Elbereth Gilthoniel, silivren penna míriel o menel aglar elenath!”",a elbereth gilthoniel silivren penna míriel o menel aglar elenath,fs,fs17
Elven Farsight,G,"“Few can foresee whither their road will lead them, till they come to its end.”
—Legolas",few can foresee whither their road will lead them till they come to its end ,tt,tt5
Entish Restoration,G,“Welcome to the Treegarth of Orthanc!”,welcome to the treegarth of orthanc,rk,rk16
Ent's Fury,G,"“I came and called the trees by their long names, but they did not hear or answer—they lay dead.”
—Quickbeam",i came and called the trees by their long names but they did not hear or answer ,tt,tt4
Galadhrim Guide,G,"“I shall lead you well, and the paths are smooth and straight.”",i shall lead you well and the paths are smooth and straight,fs,fs22
Gift of Strands,G,"“None have ever made to me a request so bold and yet so courteous.”
—Galadriel",none have ever made to me a request so bold and yet so courteous ,fs,fs24
Last March of the Ents,G,"“To Isengard with doom we come!
With doom we come, with doom we come!”",to isengard with doom we come with doom we come with doom we come,tt,tt4
Lothlórien Lookout,G,"“That was the custom of the Elves of Lórien, to dwell in the trees. Therefore they were called Galadhrim, the Tree-people.”
—Legolas",that was the custom of the elves of lórien to dwell in the trees therefore they were called galadhrim the treepeople ,fs,fs22
Many Partings,G,"“For you in all the lands of the West there will ever be a welcome, dearest friend.”
—Aragorn",for you in all the lands of the west there will ever be a welcome dearest friend ,rk,rk16
Meriadoc Brandybuck,G,"“My dear old Hobbit, you don’t allow for the inquisitiveness of friends. I have known about the existence of the Ring for years.”",my dear old hobbit you don’t allow for the inquisitiveness of friends i have known about the existence of the ring for years,fs,fs9
Mirrormere Guardian,G,"“But still the sunken stars appear
In dark and windless Mirrormere;
There lies his crown in water deep,
Till Durin wakes again from sleep.”
—Gimli’s song",but still the sunken stars appear in dark and windless mirrormere there lies his crown in water deep till durin wakes again from sleep ,fs,fs20
Pippin's Bravery,G,"Pippin stabbed upwards, and the written blade of Westernesse pierced through the hide and went deep into the vitals of the troll.",pippin stabbed upwards and the written blade of westernesse pierced through the hide and went deep into the vitals of the troll,rk,rk10
"Quickbeam, Upstart Ent",G,"“It is only a nickname, of course. They have called me that ever since I said yes to an elder Ent before he had finished his question.”",it is only a nickname of course they have called me that ever since i said yes to an elder ent before he had finished his question,tt,tt4
Revive the Shire,G,"In the Party Field, a beautiful young sapling leaped up: it was indeed a mallorn, and it was the wonder of the neighborhood.",in the party field a beautiful young sapling leaped up it was indeed a mallorn and it was the wonder of the neighborhood,rk,rk19
Shower of Arrows,G,"“I wish there were more of your kin among us, Gimli. But even more would I give for a hundred good archers of Mirkwood. We shall need them.”
—Legolas",i wish there were more of your kin among us gimli but even more would i give for a hundred good archers of mirkwood we shall need them ,tt,tt7
Wose Pathfinder,G,"“Road is forgotten, but not by Wild Folk. Over hill and behind hill it lies still under grass and tree. Wild Folk will show you that road.”",road is forgotten but not by wild folk over hill and behind hill it lies still under grass and tree wild folk will show you that road,rk,rk5
Arwen Undómiel,M,"She was called Undómiel, for she was the Evenstar of her people.",she was called undómiel for she was the evenstar of her people,fs,fs17
"Denethor, Ruling Steward",M,“Much must be risked in war.”,much must be risked in war,rk,rk4
Doors of Durin,M,"“Speak, friend, and enter.”",speak friend and enter,fs,fs20
"Éowyn, Fearless Knight",M,“Am I not of the House of Eorl? I have waited on faltering feet long enough.”,am i not of the house of eorl i have waited on faltering feet long enough,rk,rk2
"Faramir, Prince of Ithilien",M,"The City was made more fair than it had ever been, even in the days of its first glory.",the city was made more fair than it had ever been even in the days of its first glory,rk,rk15
Flame of Anor,M,"There was a ringing clash and a stab of white fire, and the Balrog fell back.",there was a ringing clash and a stab of white fire and the balrog fell back,fs,fs21
Friendly Rivalry,M,"“Forty-two, Master Legolas!”
—Gimli",fortytwo master legolas ,tt,tt8
Frodo Baggins,M,"“Few have ever come hither through greater peril or on an errand more urgent.”
—Elrond",few have ever come hither through greater peril or on an errand more urgent ,fs,fs18
Gandalf's Sanction,M,"There was a crack, and the staff split asunder in Saruman’s hand, and the head of it fell down at Gandalf’s feet.",there was a crack and the staff split asunder in saruman’s hand and the head of it fell down at gandalf’s feet,tt,tt10
Gwaihir the Windlord,M,"There came Gwaihir the Windlord, greatest of all the Eagles of the North, mightiest of the descendants of old Thorondor.",there came gwaihir the windlord greatest of all the eagles of the north mightiest of the descendants of old thorondor,rk,rk14
"Mauhúr, Uruk-hai Captain",M,"“We are the servants of Saruman the Wise, the White Hand: the Hand that gives us Man’s-flesh to eat.”",we are the servants of saruman the wise the white hand the hand that gives us man’sflesh to eat,tt,tt3
"Merry, Esquire of Rohan",M,"Then suddenly Merry felt it at last, beyond doubt: a change. Wind was in his face!",then suddenly merry felt it at last beyond doubt a change wind was in his face,rk,rk5
"Pippin, Guard of the Citadel",M,"“Here do I swear fealty to Gondor, until my lord release me, or death take me.”",here do i swear fealty to gondor until my lord release me or death take me,rk,rk1
Prince Imrahil the Fair,M,"“The Lord Aragorn I hold to be my liege lord, whether he claim it or no. His wish is to me a command.”",the lord aragorn i hold to be my liege lord whether he claim it or no his wish is to me a command,rk,rk9
Ringsight,M,Frodo was able to see beneath their black wrappings. In their white faces burned keen and merciless eyes.,frodo was able to see beneath their black wrappings in their white faces burned keen and merciless eyes,fs,fs15
Rise of the Witch-king,M,"In rode the Lord of the Nazgûl, under the archway that no enemy ever yet had passed, and all fled before his face.",in rode the lord of the nazgûl under the archway that no enemy ever yet had passed and all fled before his face,rk,rk4
Sauron's Ransom,M,"“He was dear to you, I see. And now he shall endure the slow torment of years.”",he was dear to you i see and now he shall endure the slow torment of years,rk,rk10
Shadow Summoning,M,"“Whose shall the horn be? Who shall call them from the grey twilight, the forgotten people? The heir of him to whom the oath they swore.”
—Malbeth the Seer",whose shall the horn be who shall call them from the grey twilight the forgotten people the heir of him to whom the oath they swore ,rk,rk2
"Strider, Ranger of the North",M,The greatest traveler and huntsman of this age of the world.,the greatest traveler and huntsman of this age of the world,fs,fs6
"Théoden, King of Rohan",M,"“Dark have been my dreams of late, but I feel new-awakened. I only fear that already you have come too late, Gandalf.”",dark have been my dreams of late but i feel newawakened i only fear that already you have come too late gandalf,tt,tt6
Ent-Draught Basin,C,"The effect of the draught began at the toes, and rose steadily through every limb, bringing refreshment and vigor as it coursed upward, right to the tips of the hair.",the effect of the draught began at the toes and rose steadily through every limb bringing refreshment and vigor as it coursed upward right to the tips of the hair,tt,tt4
Inherited Envelope,C,"“Keep it secret, and keep it safe!”
—Gandalf",keep it secret and keep it safe ,fs,fs5
Lembas,C,They could eat of it and find new strength even as they ran.,they could eat of it and find new strength even as they ran,tt,tt2
Mirror of Galadriel,C,"“Your Quest stands upon the edge of a knife. Stray but a little and it will fail, to the ruin of all. Yet hope remains while all the Company is true.”",your quest stands upon the edge of a knife stray but a little and it will fail to the ruin of all yet hope remains while all the company is true,fs,fs23
Phial of Galadriel,C,"“May it be a light to you in dark places, when all other lights go out.”",may it be a light to you in dark places when all other lights go out,fs,fs24
Shire Scarecrow,C,"“How bright your garden looks!”
—Gandalf",how bright your garden looks ,fs,fs5
Stone of Erech,C,"“At the Stone of Erech they shall stand again and hear there a horn in the hills ringing.”
—Malbeth the Seer",at the stone of erech they shall stand again and hear there a horn in the hills ringing ,rk,rk2
Barad-dûr,C,"“Those who pass the gates of Barad-dûr do not return.”
—Gandalf",those who pass the gates of baraddûr do not return ,fs,fs20
Great Hall of the Citadel,C,"“Renewed shall be blade that was broken: The crownless again shall be king.”
—Bilbo",renewed shall be blade that was broken the crownless again shall be king ,fs,fs18
